 09-Dec-2012       (rnp_101.dat - 1.0*Aver(rnp_100.dat,rnp_102.dat) /  0.5600 
 rnp_101.dat  Conc = .56E+00  N1 =    1  N2 = 1043
 rnp_100.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
 rnp_102.dat  Conc = 0.0d+0   N1 =    1  N2 = 1043
  0.939267E+00  0.385597E+01  0.343151E+00
  0.943585E+00  0.291694E+01  0.343006E+00
  0.947903E+00  0.313317E+01  0.339033E+00
  0.952221E+00  0.316874E+01  0.348794E+00
  0.956539E+00  0.331300E+01  0.342797E+00
  0.960857E+00  0.319321E+01  0.344665E+00
  0.965175E+00  0.369358E+01  0.348901E+00
  0.969494E+00  0.331458E+01  0.343917E+00
  0.973812E+00  0.333197E+01  0.350760E+00
  0.978130E+00  0.308561E+01  0.339437E+00
  0.982448E+00  0.277629E+01  0.347388E+00
  0.986766E+00  0.284888E+01  0.347159E+00
  0.991084E+00  0.266914E+01  0.342227E+00
  0.995402E+00  0.229211E+01  0.347788E+00
  0.999720E+00  0.234247E+01  0.342820E+00
  0.100404E+01  0.209925E+01  0.344544E+00
  0.100836E+01  0.222124E+01  0.343115E+00
  0.101267E+01  0.263203E+01  0.335665E+00
  0.101699E+01  0.213421E+01  0.344178E+00
  0.102131E+01  0.285331E+01  0.343358E+00
  0.102563E+01  0.233441E+01  0.343655E+00
  0.102995E+01  0.250294E+01  0.339675E+00
  0.103426E+01  0.241442E+01  0.352442E+00
  0.103858E+01  0.245043E+01  0.352325E+00
  0.104290E+01  0.209210E+01  0.370926E+00
  0.104722E+01  0.184238E+01  0.379530E+00
  0.105154E+01  0.283563E+01  0.391376E+00
  0.105585E+01  0.259423E+01  0.386003E+00
  0.106017E+01  0.200802E+01  0.397540E+00
  0.106449E+01  0.229527E+01  0.383788E+00
  0.106881E+01  0.193193E+01  0.393348E+00
  0.107313E+01  0.176834E+01  0.378979E+00
  0.107744E+01  0.208232E+01  0.386002E+00
  0.108176E+01  0.195163E+01  0.389497E+00
  0.108608E+01  0.200285E+01  0.388817E+00
  0.109040E+01  0.242992E+01  0.400469E+00
  0.109472E+01  0.212038E+01  0.391003E+00
  0.109903E+01  0.128476E+01  0.397402E+00
  0.110335E+01  0.288669E+01  0.401256E+00
  0.110767E+01  0.133244E+01  0.388031E+00
  0.111199E+01  0.170809E+01  0.378061E+00
  0.111631E+01  0.222210E+01  0.374069E+00
  0.112062E+01  0.198020E+01  0.369803E+00
  0.112494E+01  0.968484E+00  0.369181E+00
  0.112926E+01  0.159829E+01  0.365231E+00
  0.113358E+01  0.198469E+01  0.372978E+00
  0.113790E+01  0.204206E+01  0.359917E+00
  0.114221E+01  0.208715E+01  0.368774E+00
  0.114653E+01  0.150381E+01  0.353282E+00
  0.115085E+01  0.191122E+01  0.356971E+00
  0.115517E+01  0.146478E+01  0.360035E+00
  0.115949E+01  0.128696E+01  0.354214E+00
  0.116381E+01  0.171924E+01  0.355056E+00
  0.116812E+01  0.154834E+01  0.351034E+00
  0.117244E+01  0.138923E+01  0.352689E+00
  0.117676E+01  0.177398E+01  0.349295E+00
  0.118108E+01  0.139113E+01  0.343567E+00
  0.118540E+01  0.177248E+01  0.347748E+00
  0.118971E+01  0.152940E+01  0.343947E+00
  0.119403E+01  0.114413E+01  0.343344E+00
  0.119835E+01  0.164721E+01  0.346271E+00
  0.120267E+01  0.133692E+01  0.342703E+00
  0.120699E+01  0.154793E+01  0.343739E+00
  0.121130E+01  0.396697E+00  0.341402E+00
  0.121562E+01  0.217577E+01  0.339247E+00
  0.121994E+01  0.156591E+01  0.340027E+00
  0.122426E+01  0.925012E+00  0.337579E+00
  0.122858E+01  0.155556E+01  0.341798E+00
  0.123289E+01  0.146491E+01  0.335191E+00
  0.123721E+01  0.109151E+01  0.337578E+00
  0.124153E+01  0.118437E+01  0.341463E+00
  0.124585E+01  0.131142E+01  0.334474E+00
  0.125017E+01  0.927822E+00  0.333235E+00
  0.125449E+01  0.957448E+00  0.333517E+00
  0.125880E+01  0.166713E+01  0.334533E+00
  0.126312E+01  0.138090E+01  0.330341E+00
  0.126744E+01  0.188626E+01  0.335635E+00
  0.127176E+01  0.194821E+01  0.331552E+00
  0.127608E+01  0.694415E+00  0.334697E+00
  0.128039E+01  0.146789E+01  0.331736E+00
  0.128471E+01  0.107456E+01  0.327664E+00
  0.128903E+01  0.837633E+00  0.329145E+00
  0.129335E+01  0.124099E+01  0.331166E+00
  0.129767E+01  0.152303E+01  0.327025E+00
  0.130198E+01  0.112464E+01  0.333029E+00
  0.130630E+01  0.117497E+01  0.326838E+00
  0.131062E+01  0.161374E+01  0.328056E+00
  0.131494E+01  0.177297E+01  0.329877E+00
  0.131926E+01  0.655889E+00  0.319293E+00
  0.132357E+01  0.114969E+01  0.326638E+00
  0.132789E+01  0.122899E+01  0.324023E+00
  0.133221E+01  0.120071E+01  0.324112E+00
  0.133653E+01  0.102891E+01  0.324546E+00
  0.134085E+01  0.144783E+01  0.322457E+00
  0.134516E+01  0.110925E+01  0.324691E+00
  0.134948E+01  0.730878E+00  0.320755E+00
  0.135380E+01  0.104944E+01  0.315373E+00
  0.135812E+01  0.107953E+01  0.320725E+00
  0.136244E+01  0.172706E+01  0.316763E+00
  0.136675E+01  0.103986E+01  0.321459E+00
  0.137107E+01  0.874462E+00  0.312479E+00
  0.137539E+01  0.717275E+00  0.321119E+00
  0.137971E+01  0.172604E+01  0.310372E+00
  0.138403E+01  0.115304E+01  0.314946E+00
  0.138834E+01  0.973256E+00  0.312033E+00
  0.139266E+01  0.132481E+01  0.308818E+00
  0.139698E+01  0.119051E+01  0.316476E+00
  0.140130E+01  0.629852E+00  0.310280E+00
  0.140562E+01  0.145794E+01  0.309297E+00
  0.140993E+01  0.733891E+00  0.317913E+00
  0.141425E+01  0.114725E+01  0.307206E+00
  0.141857E+01  0.921440E+00  0.310445E+00
  0.142289E+01  0.699127E+00  0.308562E+00
  0.142721E+01  0.506258E+00  0.307918E+00
  0.143152E+01  0.304338E+00  0.308197E+00
  0.143584E+01  0.513262E+00  0.310901E+00
  0.144016E+01  0.106203E+01  0.307718E+00
  0.144448E+01  0.130196E+01  0.307832E+00
  0.144880E+01  0.744454E+00  0.308209E+00
  0.145311E+01  0.929357E+00  0.305162E+00
  0.145743E+01  0.133459E+01  0.306730E+00
  0.146175E+01  0.770466E+00  0.302086E+00
  0.146607E+01  0.140929E+01  0.308423E+00
  0.147039E+01  0.553439E+00  0.302723E+00
  0.147470E+01  0.614729E+00  0.305176E+00
  0.147902E+01  0.896647E+00  0.303661E+00
  0.148334E+01  0.129248E+01  0.304249E+00
  0.148766E+01  0.946366E+00  0.297360E+00
  0.149198E+01  0.110215E+01  0.301820E+00
  0.149629E+01  0.913136E+00  0.300966E+00
  0.150061E+01  0.117722E+01  0.300165E+00
  0.150493E+01  0.733794E+00  0.299979E+00
  0.150925E+01  0.943143E+00  0.304010E+00
  0.151357E+01  0.526196E+00  0.296673E+00
  0.151788E+01  0.671997E+00  0.304634E+00
  0.152220E+01  0.921611E+00  0.296489E+00
  0.152652E+01  0.765576E+00  0.299630E+00
  0.153084E+01  0.107617E+01  0.296951E+00
  0.153516E+01  0.700435E+00  0.301387E+00
  0.153948E+01  0.710390E+00  0.296551E+00
  0.154379E+01  0.781952E+00  0.300993E+00
  0.154811E+01  0.931267E+00  0.299855E+00
  0.155243E+01  0.104328E+01  0.297868E+00
  0.155675E+01  0.793262E+00  0.297922E+00
  0.156107E+01  0.585873E+00  0.293950E+00
  0.156538E+01  0.928215E+00  0.296246E+00
  0.156970E+01  0.767139E+00  0.294271E+00
  0.157402E+01  0.735852E+00  0.298494E+00
  0.157834E+01  0.782893E+00  0.296455E+00
  0.158266E+01  0.681163E+00  0.296322E+00
  0.158697E+01  0.622321E+00  0.293969E+00
  0.159129E+01  0.106976E+01  0.291874E+00
  0.159561E+01  0.704895E+00  0.292515E+00
  0.159993E+01  0.780024E+00  0.294102E+00
  0.160425E+01  0.842197E+00  0.293624E+00
  0.160856E+01  0.114791E+01  0.292401E+00
  0.161288E+01  0.922196E+00  0.293186E+00
  0.161720E+01  0.954124E-01  0.293497E+00
  0.162152E+01  0.723779E+00  0.292589E+00
  0.162584E+01  0.103545E+01  0.288019E+00
  0.163016E+01  0.778976E+00  0.289929E+00
  0.163447E+01  0.451807E+00  0.294147E+00
  0.163879E+01  0.587585E+00  0.284367E+00
  0.164311E+01  0.106567E+01  0.295274E+00
  0.164743E+01  0.120739E+01  0.287967E+00
  0.165175E+01  0.490695E+00  0.289894E+00
  0.165606E+01  0.700632E-01  0.291932E+00
  0.166038E+01  0.371304E+00  0.282286E+00
